period,house,house_change,debt,debt_change
2022-01-01,86,0.0,47,0.0
2022-01-02,87,0.011494252873563218,51,0.0784313725490196
2022-01-03,76,-0.14473684210526316,64,0.203125
2022-01-04,100,0.24,100,0.36
2022-01-05,61,-0.639344262295082,66,-0.5151515151515151
2022-01-06,65,0.06153846153846154,65,-0.015384615384615385
2022-01-07,79,0.17721518987341772,73,0.1095890410958904
2022-01-08,89,0.11235955056179775,58,-0.25862068965517243
2022-01-09,87,-0.022988505747126436,57,-0.017543859649122806
2022-01-10,96,0.09375,72,0.20833333333333334
2022-01-11,78,-0.23076923076923078,81,0.1111111111111111
2022-01-12,77,-0.012987012987012988,83,0.024096385542168676
2022-01-13,62,-0.24193548387096775,65,-0.27692307692307694
2022-01-14,64,0.03125,65,0.0
2022-01-15,85,0.24705882352941178,60,-0.08333333333333333
2022-01-16,72,-0.18055555555555555,48,-0.25
2022-01-17,67,-0.07462686567164178,65,0.26153846153846155
2022-01-18,65,-0.03076923076923077,72,0.09722222222222222
2022-01-19,69,0.057971014492753624,76,0.05263157894736842
2022-01-20,70,0.014285714285714285,76,0.0
2022-01-21,70,0.0,70,-0.08571428571428572
2022-01-22,85,0.17647058823529413,62,-0.12903225806451613
2022-01-23,81,-0.04938271604938271,60,-0.03333333333333333
2022-01-24,64,-0.265625,69,0.13043478260869565
2022-01-25,65,0.015384615384615385,76,0.09210526315789473
2022-01-26,66,0.015151515151515152,78,0.02564102564102564
2022-01-27,67,0.014925373134328358,83,0.060240963855421686
2022-01-28,80,0.1625,83,0.0
2022-01-29,92,0.13043478260869565,60,-0.38333333333333336
2022-01-30,92,0.0,57,-0.05263157894736842
2022-01-31,81,-0.13580246913580246,80,0.2875
